ID,ZIP,CITY,STATE,LAT,LNG
0,62825,COELLO,IL,37.998886,-89.06866
1,62808,ASHLEY,IL,38.30618,-89.1887
2,22943,GREENWOOD,VA,38.040173,-78.77834
3,54469,PORT EDWARDS,WI,44.345146,-89.87405
4,67623,ALTON,KS,39.44447,-98.95426
5,78584,ROMA,TX,26.57331,-98.96276
6,41314,BOONEVILLE,KY,37.425583,-83.640205
7,42733,ELK HORN,KY,37.3436,-85.18643
8,07432,MIDLAND PARK,NJ,40.995808,-74.14126
9,01098,WORTHINGTON,MA,42.394314,-72.943115
10,60479,VERONA,IL,41.232384,-88.5264
11,13450,ROSEBOOM,NY,42.701927,-74.810295
12,50439,GOODELL,IA,42.944717,-93.62634
13,33762,CLEARWATER,FL,27.899189,-82.679504
